java_file,nobl
/rest/headers/src/main/java/example/springdata/rest/headers/Application_init_1.java,0
/rest/headers/src/main/java/example/springdata/rest/headers/Address_toString_1.java,0
/r2dbc/example/src/main/java/example/springdata/r2dbc/entitycallback/ApplicationConfiguration_initializer_1.java,2
/r2dbc/example/src/main/java/example/springdata/r2dbc/entitycallback/ApplicationConfiguration_idGeneratingCallback_0.java,4
/r2dbc/example/src/main/java/example/springdata/r2dbc/basics/TransactionalService_save_0.java,2
/multi-store/src/main/java/example/springdata/multistore/customer/Customer_Customer_0.java,2
/multi-store/src/main/java/example/springdata/multistore/customer/Customer_Customer_1.java,0
/multi-store/src/main/java/example/springdata/multistore/shop/Order_addItem_1.java,1
/multi-store/src/main/java/example/springdata/multistore/shop/Order_Order_0.java,0
/multi-store/src/main/java/example/springdata/multistore/shop/LineItem_LineItem_0.java,1
/redis/sentinel/src/main/java/example/springdata/redis/sentinel/RedisSentinelApplication_startStopWatchIfNotRunning_5.java,1
/redis/sentinel/src/main/java/example/springdata/redis/sentinel/RedisSentinelApplication_connectionFactory_2.java,0
/redis/sentinel/src/main/java/example/springdata/redis/sentinel/RedisSentinelApplication_flushTestDb_4.java,0
/redis/sentinel/src/main/java/example/springdata/redis/sentinel/RedisSentinelApplication_sentinelConfig_3.java,0
/redis/sentinel/src/main/java/example/springdata/redis/sentinel/RedisSentinelApplication_printBackFromErrorStateInfoIfStopWatchIsRunning_6.java,1
/redis/sentinel/src/main/java/example/springdata/redis/sentinel/RedisSentinelApplication_main_0.java,9
/redis/sentinel/src/main/java/example/springdata/redis/sentinel/RedisSentinelApplication_redisTemplate_1.java,0
/redis/repositories/src/main/java/example/springdata/redis/repositories/Person_Person_0.java,1
/redis/streams/src/main/java/example/springdata/redis/sync/CapturingStreamListener_create_2.java,0
/redis/streams/src/main/java/example/springdata/redis/sync/CapturingStreamListener_CapturingStreamListener_0.java,0
/redis/streams/src/main/java/example/springdata/redis/sync/CapturingStreamListener_take_4.java,0
/redis/streams/src/main/java/example/springdata/redis/sync/CapturingStreamListener_onMessage_1.java,1
/redis/streams/src/main/java/example/springdata/redis/sync/CapturingStreamListener_recordsReceived_3.java,0
/redis/streams/src/main/java/example/springdata/redis/SensorData_sensorData_1.java,1
/redis/streams/src/main/java/example/springdata/redis/SensorData_create_0.java,0
/redis/util/src/main/java/example/springdata/redis/test/condition/RedisConditions_getRedisVersion_4.java,0
/redis/util/src/main/java/example/springdata/redis/test/condition/RedisConditions_of_1.java,0
