java_file,loc
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/integration/IntegrationActivityBehavior_execute_1.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/integration/Activiti_inboundGatewayActivityBehavior_1.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/integration/Activiti_signallingMessageHandler_2.java,11
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/integration/IntegrationActivityBehavior_trigger_3.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/integration/IntegrationActivityBehavior_IntegrationActivityBehavior_0.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/AbstractActivitiSmartLifeCycle_stop_9.java,6
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/ApplicationDeployedEventProducer_getEventType_4.java,10
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AsyncExecutorProperties_setAsyncJobLockTimeInMillis_25.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AsyncExecutorProperties_getMaxTimerJobsPerAcquisition_12.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_isMailServerUseSsl_28.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_isUseStrongUuids_36.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AsyncExecutorProperties_setTimerLockTimeInMillis_23.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AbstractProcessEngineAutoConfiguration_runtimeServiceBean_4.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AsyncExecutorProperties_setMaxAsyncJobsDuePerAcquisition_15.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AsyncExecutorProperties_getDefaultQueueSizeFullWaitTime_20.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_getMailServerUserName_22.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AsyncExecutorProperties_getCorePoolSize_0.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_isSerializePOJOsInVariablesToJson_42.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_setCustomMybatisMappers_33.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AsyncExecutorProperties_setNumberOfRetries_33.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_setAsyncExecutorActivate_1.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_getDeploymentMode_40.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_isCheckProcessDefinitions_2.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ProcessEngineAutoConfiguration_ProcessEngineAutoConfiguration_0.java,3
