java_file,midx
/src/main/java/junit/runner/BaseTestRunner_getPreference_23.java,100
/src/main/java/junit/runner/BaseTestRunner_startTest_0.java,100
/src/main/java/junit/runner/Version_id_1.java,100
/src/main/java/junit/runner/BaseTestRunner_useReloadingTestSuiteLoader_20.java,100
/src/main/java/junit/runner/BaseTestRunner_clearStatus_19.java,100
/src/main/java/junit/runner/BaseTestRunner_addFailure_7.java,100
/src/main/java/junit/runner/BaseTestRunner_loadSuiteClass_18.java,100
/src/main/java/junit/runner/BaseTestRunner_getFilteredTrace_25.java,100
/src/main/java/junit/runner/BaseTestRunner_showStackRaw_27.java,100
/src/main/java/junit/runner/BaseTestRunner_getFilteredTrace_26.java,100
/src/main/java/junit/runner/Version_Version_0.java,100
/src/main/java/junit/runner/BaseTestRunner_getPreferencesFile_21.java,100
/src/main/java/junit/runner/BaseTestRunner_processArguments_13.java,100
/src/main/java/junit/runner/BaseTestRunner_filterLine_28.java,100
/src/main/java/junit/runner/BaseTestRunner_addError_6.java,100
/src/main/java/junit/runner/BaseTestRunner_truncate_16.java,100
/src/main/java/junit/runner/BaseTestRunner_getTest_11.java,97.185
/src/main/java/junit/runner/BaseTestRunner_setLoading_14.java,100
/src/main/java/junit/runner/BaseTestRunner_setPreferences_1.java,100
/src/main/java/junit/runner/BaseTestRunner_endTest_5.java,100
/src/main/java/junit/runner/BaseTestRunner_getPreferences_2.java,100
/src/main/java/junit/runner/BaseTestRunner_setPreference_4.java,100
/src/main/java/junit/extensions/TestDecorator_basicRun_1.java,100
/src/main/java/junit/extensions/ActiveTestSuite_waitUntilFinished_6.java,100
/src/main/java/junit/extensions/ActiveTestSuite_run_4.java,100
/src/main/java/junit/extensions/TestDecorator_getTest_5.java,100
/src/main/java/junit/extensions/TestSetup_setUp_2.java,100
/src/main/java/junit/extensions/TestDecorator_run_3.java,100
/src/main/java/junit/extensions/ActiveTestSuite_ActiveTestSuite_1.java,100
/src/main/java/junit/extensions/ActiveTestSuite_ActiveTestSuite_2.java,100
/src/main/java/junit/extensions/TestDecorator_toString_4.java,100
/src/main/java/junit/extensions/ActiveTestSuite_ActiveTestSuite_3.java,100
/src/main/java/junit/extensions/TestDecorator_countTestCases_2.java,100
/src/main/java/junit/extensions/TestSetup_run_1.java,100
/src/main/java/junit/extensions/TestSetup_tearDown_3.java,100
/src/main/java/junit/extensions/TestSetup_TestSetup_0.java,100
/src/main/java/junit/extensions/ActiveTestSuite_runTest_5.java,100
/src/main/java/junit/extensions/ActiveTestSuite_ActiveTestSuite_0.java,100
/src/main/java/junit/extensions/ActiveTestSuite_runFinished_7.java,100
/src/main/java/junit/extensions/TestDecorator_TestDecorator_0.java,100
/src/main/java/org/junit/Assert_assertEquals_43.java,100
/src/main/java/org/junit/ComparisonFailure_ComparisonFailure_0.java,100
/src/main/java/org/junit/Assert_assertArrayEquals_24.java,100
/src/main/java/org/junit/validator/AnnotationValidator_validateAnnotatedField_1.java,100
/src/main/java/org/junit/validator/AnnotationValidator_validateAnnotatedClass_0.java,100
