java_file,mncoco
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_setLogValidationErrors_102.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_getBorrowedCount_45.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_isClosed_10.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/FairBlockingQueue_removeAll_20.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getDataSourceJNDI_132.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getReturnedCount_71.java,1
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ProxyConnection_unwrap_7.java,4
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getPooledConnection_12.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getAbandonWhenPercentageFull_111.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/FairBlockingQueue_isEmpty_19.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PooledConnection_PooledConnection_0.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_setUseStatementFacade_109.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_checkIdle_64.java,1
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PooledConnection_getXAConnection_34.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getConnection_8.java,1
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getXAConnection_10.java,4
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_shouldReleaseIdle_33.java,3
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_getReturnedCount_46.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_setTestOnBorrow_34.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PooledConnection_isInitialized_7.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/XADataSource_XADataSource_0.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_getConnection_2.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_setName_128.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PooledConnection_setHandler_37.java,4
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/JdbcInterceptor_disconnected_7.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/StatementFacade_StatementFacade_0.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_getUseDisposableConnectionFacade_101.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_isTestOnReturn_114.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_isDefaultReadOnly_9.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolUtilities_clone_0.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getValidator_103.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_close_16.java,5
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_isUseEquals_122.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_getValidationQuery_31.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_terminateTransaction_25.java,11
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ProxyConnection_reset_5.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getRemoveAbandonedCount_75.java,1
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_getUrl_29.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_getPoolCleaners_55.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PooledConnection_getLastValidated_29.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getDefaultReadOnly_117.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getJdbcInterceptors_85.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_terminatePoolCleaner_17.java,1
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getValidationInterval_99.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_setAbandonWhenPercentageFull_123.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_getRollbackOnReturn_99.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_setRemoveAbandonedTimeout_33.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_isDefaultAutoCommit_106.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_setMinEvictableIdleTimeMillis_55.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_setConnectionProperties_43.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_setValidationQuery_69.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PooledConnection_getHandler_36.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_setDefaultCatalog_49.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_getCommitOnReturn_97.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ClassLoaderUtil_loadClass_0.java,15
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PooledConnection_doValidate_12.java,11
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_isRemoveAbandoned_23.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_setName_57.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_purgeOnReturn_40.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_DataSourceProxy_1.java,1
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_getDefaultTransactionIsolation_10.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_close_13.java,28
